scenario,difficulty_score,difficulty_label
1007,0.2662,easy
1009,0.341,medium
422,0.3514,medium
749,0.3531,medium
895,0.3557,medium
615,0.3574,medium
1004,0.3594,medium
943,0.3656,medium
97,0.369,medium
846,0.369,medium
351,0.3719,medium
323,0.3735,medium
802,0.3739,medium
4,0.3768,medium
605,0.3778,medium
613,0.3837,medium
82,0.384,medium
580,0.3846,medium
590,0.3852,medium
855,0.3854,medium
991,0.3858,medium
470,0.3859,medium
158,0.3862,medium
606,0.3868,medium
576,0.3869,medium
537,0.3873,medium
11,0.388,medium
358,0.3885,medium
26,0.3885,medium
101,0.3887,medium
427,0.3889,medium
592,0.3889,medium
899,0.3906,medium
367,0.3909,medium
959,0.3915,medium
715,0.3917,medium
155,0.3917,medium
800,0.392,medium
817,0.392,medium
971,0.3922,medium
353,0.3927,medium
510,0.393,medium
219,0.393,medium
373,0.3934,medium
201,0.3934,medium
685,0.3939,medium
844,0.3939,medium
213,0.3951,medium
25,0.3959,medium
610,0.396,medium
534,0.3972,medium
330,0.3973,medium
218,0.3978,medium
695,0.3981,medium
549,0.3982,medium
996,0.3982,medium
335,0.3983,medium
416,0.3987,medium
299,0.3988,medium
966,0.3989,medium
887,0.3995,medium
455,0.3997,medium
417,0.3997,medium
42,0.4002,medium
960,0.4006,medium
325,0.4006,medium
309,0.401,medium
484,0.4014,medium
459,0.402,medium
738,0.402,medium
146,0.4021,medium
953,0.4022,medium
170,0.4023,medium
589,0.4024,medium
419,0.4024,medium
257,0.4025,medium
872,0.4025,medium
830,0.4027,medium
267,0.4027,medium
556,0.4027,medium
560,0.4029,medium
199,0.403,medium
429,0.4036,medium
664,0.4038,medium
345,0.404,medium
600,0.4041,medium
287,0.4041,medium
166,0.4044,medium
776,0.4044,medium
411,0.4047,medium
1012,0.4048,medium
602,0.4052,medium
701,0.4052,medium
520,0.4054,medium
490,0.4054,medium
242,0.4058,medium
691,0.4062,medium
545,0.4062,medium
432,0.4063,medium
839,0.4064,medium
118,0.4064,medium
116,0.4068,medium
281,0.4069,medium
847,0.407,hard
591,0.4071,hard
923,0.4072,hard
816,0.4073,hard
778,0.4073,hard
944,0.4074,hard
197,0.4075,hard
517,0.4075,hard
331,0.4077,hard
435,0.408,hard
544,0.408,hard
457,0.4081,hard
414,0.4083,hard
505,0.4083,hard
292,0.4086,medium
301,0.4087,medium
297,0.4087,medium
682,0.4089,medium
23,0.4089,medium
142,0.4089,medium
783,0.409,medium
686,0.4093,medium
719,0.4095,medium
566,0.4098,medium
226,0.4108,medium
172,0.411,medium
390,0.4114,medium
932,0.4115,medium
961,0.4116,medium
863,0.4117,medium
161,0.4118,medium
338,0.4119,medium
671,0.412,medium
603,0.4121,medium
296,0.4121,medium
864,0.4121,medium
110,0.4123,medium
58,0.4125,medium
629,0.4125,medium
640,0.4126,medium
920,0.4128,medium
16,0.4133,medium
781,0.4136,medium
475,0.414,medium
810,0.4141,medium
516,0.4143,medium
506,0.4143,medium
661,0.4144,medium
55,0.4145,medium
583,0.4145,medium
497,0.4147,medium
681,0.415,medium
291,0.415,medium
795,0.415,medium
594,0.4151,medium
339,0.4153,medium
581,0.4153,medium
316,0.4153,medium
649,0.4154,medium
307,0.4156,medium
1011,0.4156,medium
703,0.4156,medium
539,0.4157,medium
262,0.4158,medium
407,0.4159,medium
310,0.416,medium
732,0.4162,medium
742,0.4163,medium
30,0.4167,medium
15,0.417,medium
941,0.4171,medium
10,0.4171,medium
207,0.4173,medium
401,0.4174,medium
90,0.4176,medium
239,0.4178,medium
951,0.418,medium
721,0.418,medium
150,0.4181,medium
266,0.4182,medium
873,0.4182,medium
865,0.4185,medium
713,0.4187,medium
529,0.4187,medium
68,0.4187,medium
722,0.4187,medium
492,0.4188,medium
87,0.4188,medium
381,0.4189,medium
202,0.419,medium
731,0.4192,medium
604,0.4192,medium
290,0.4193,medium
13,0.4193,medium
507,0.4194,medium
679,0.4194,medium
88,0.4197,medium
559,0.4199,medium
616,0.42,medium
41,0.4201,medium
621,0.4203,medium
632,0.4204,medium
28,0.4205,medium
807,0.4205,medium
901,0.4206,medium
64,0.4207,medium
912,0.4211,medium
628,0.4211,medium
577,0.4212,medium
548,0.4212,medium
341,0.4212,medium
979,0.4213,medium
384,0.4217,medium
650,0.4219,medium
308,0.4222,medium
841,0.4227,medium
503,0.4227,medium
493,0.4227,medium
174,0.423,medium
915,0.4231,medium
54,0.4232,medium
678,0.4234,medium
391,0.4236,medium
1006,0.4237,medium
355,0.4237,medium
447,0.4238,medium
73,0.4238,medium
889,0.4239,medium
159,0.424,medium
1008,0.4241,medium
107,0.4244,medium
12,0.4246,medium
728,0.4251,medium
177,0.4252,medium
75,0.4253,medium
284,0.4254,medium
346,0.4254,medium
793,0.4255,medium
900,0.4256,medium
408,0.4256,medium
430,0.4258,medium
109,0.4259,medium
406,0.426,medium
105,0.426,medium
95,0.4262,medium
574,0.4263,medium
372,0.4263,medium
402,0.4265,medium
977,0.4266,medium
532,0.4267,medium
884,0.4268,medium
84,0.4269,medium
203,0.4271,medium
129,0.4272,medium
383,0.4273,medium
480,0.4274,medium
523,0.4275,medium
788,0.4275,medium
33,0.4275,medium
740,0.4277,medium
705,0.4277,medium
825,0.4278,medium
232,0.4278,medium
349,0.4278,medium
280,0.428,medium
311,0.4282,medium
318,0.4283,medium
1013,0.4283,medium
48,0.4283,medium
501,0.4284,medium
214,0.4284,medium
924,0.4285,medium
211,0.4288,medium
697,0.4289,medium
909,0.4289,medium
902,0.429,medium
160,0.4291,medium
249,0.4292,medium
655,0.4292,medium
32,0.4293,medium
708,0.4293,medium
343,0.4293,medium
359,0.4294,medium
413,0.4296,medium
513,0.4296,medium
102,0.4297,medium
724,0.4297,medium
163,0.4298,medium
644,0.4299,medium
744,0.43,medium
867,0.4302,medium
143,0.4302,medium
554,0.4302,medium
533,0.4302,medium
354,0.4302,medium
919,0.4304,medium
775,0.4304,medium
209,0.4304,medium
972,0.4305,medium
898,0.4305,medium
245,0.4306,medium
769,0.4307,medium
237,0.4307,medium
659,0.4307,medium
216,0.4308,medium
45,0.431,medium
877,0.431,medium
397,0.4311,medium
314,0.4312,medium
357,0.4312,medium
431,0.4313,medium
593,0.4313,medium
861,0.4316,medium
332,0.4317,medium
378,0.4318,medium
169,0.4318,medium
312,0.4319,medium
938,0.432,medium
787,0.432,medium
750,0.4321,medium
646,0.4321,medium
35,0.4321,medium
246,0.4322,medium
892,0.4322,medium
374,0.4322,medium
862,0.4324,medium
641,0.4324,medium
277,0.4324,medium
424,0.4325,medium
115,0.4327,medium
443,0.4333,medium
433,0.4333,medium
672,0.4335,medium
931,0.4336,medium
975,0.4337,medium
20,0.4337,medium
835,0.4337,medium
928,0.4338,medium
403,0.4341,medium
144,0.4341,medium
720,0.4341,medium
983,0.4341,medium
234,0.4342,medium
838,0.4342,medium
927,0.4344,medium
986,0.4344,medium
541,0.4345,medium
707,0.4347,medium
135,0.4347,medium
350,0.4347,medium
190,0.4347,medium
948,0.4348,medium
760,0.4348,medium
1001,0.4353,medium
437,0.4353,medium
304,0.4353,medium
153,0.4353,medium
771,0.4355,medium
409,0.4356,medium
624,0.4356,medium
344,0.4357,medium
121,0.4358,medium
627,0.4359,medium
700,0.436,medium
186,0.4361,medium
997,0.4362,medium
426,0.4362,medium
462,0.4362,medium
175,0.4363,medium
578,0.4364,medium
758,0.4365,medium
888,0.4365,medium
643,0.4367,medium
642,0.4367,medium
2,0.4368,medium
905,0.4369,medium
856,0.437,medium
410,0.437,medium
562,0.4371,medium
893,0.4373,medium
762,0.4373,medium
261,0.4373,medium
91,0.4373,medium
195,0.4374,medium
555,0.4374,medium
111,0.4377,medium
9,0.4378,medium
614,0.4379,medium
936,0.4381,medium
634,0.4382,medium
388,0.4384,medium
228,0.4384,medium
334,0.4385,medium
180,0.439,medium
599,0.439,medium
766,0.4393,medium
998,0.4394,medium
5,0.4394,medium
698,0.4395,medium
876,0.4396,medium
260,0.4398,medium
198,0.4398,medium
138,0.4398,medium
59,0.4399,medium
250,0.44,medium
763,0.4401,medium
704,0.4401,medium
976,0.4401,medium
36,0.4401,medium
648,0.4401,medium
43,0.4402,medium
126,0.4402,medium
870,0.4402,medium
51,0.4404,medium
453,0.4404,medium
564,0.4405,medium
347,0.4406,medium
122,0.4406,medium
933,0.4407,medium
842,0.4407,medium
298,0.4408,medium
780,0.441,medium
89,0.441,medium
751,0.441,medium
8,0.4411,medium
85,0.4411,medium
741,0.4412,medium
845,0.4413,medium
196,0.4413,medium
569,0.4413,medium
527,0.4413,medium
445,0.4414,medium
514,0.4414,medium
925,0.4415,medium
208,0.4415,medium
639,0.4415,medium
586,0.4417,medium
393,0.4418,medium
191,0.4419,medium
112,0.4419,medium
519,0.4419,medium
735,0.4421,medium
848,0.4422,medium
167,0.4422,medium
326,0.4423,medium
7,0.4423,medium
319,0.4423,medium
785,0.4426,medium
647,0.4427,medium
130,0.4428,medium
937,0.4429,medium
37,0.4429,medium
973,0.4429,medium
133,0.443,medium
193,0.4432,medium
543,0.4432,medium
295,0.4433,medium
278,0.4434,medium
139,0.4435,medium
806,0.4437,medium
415,0.4437,medium
587,0.4438,medium
579,0.4438,medium
540,0.4439,medium
83,0.4439,medium
834,0.444,medium
684,0.444,medium
518,0.444,medium
477,0.444,medium
880,0.4441,medium
987,0.4441,medium
181,0.4443,medium
814,0.4444,medium
662,0.4446,medium
637,0.4446,medium
136,0.4447,medium
336,0.4447,medium
125,0.4448,medium
636,0.4449,medium
103,0.4449,medium
1003,0.445,medium
465,0.4452,medium
72,0.4452,medium
258,0.4453,medium
253,0.4455,medium
71,0.4456,medium
557,0.4458,medium
173,0.4459,medium
60,0.4459,medium
145,0.446,medium
39,0.4461,medium
945,0.4463,medium
405,0.4463,medium
729,0.4464,medium
124,0.4465,medium
468,0.4465,medium
854,0.4465,medium
31,0.4466,medium
917,0.4467,medium
652,0.4467,medium
496,0.4467,medium
546,0.4468,medium
464,0.4473,medium
62,0.4475,medium
487,0.4475,medium
463,0.4477,medium
482,0.4477,medium
449,0.4479,medium
315,0.4479,medium
866,0.4479,medium
716,0.448,medium
921,0.4481,medium
916,0.4482,medium
451,0.4484,medium
926,0.4484,medium
859,0.4485,medium
227,0.4489,medium
321,0.4489,medium
382,0.4491,medium
229,0.4494,medium
206,0.4495,medium
179,0.4495,medium
538,0.4495,medium
881,0.4496,medium
162,0.4496,medium
361,0.4496,medium
968,0.4497,medium
765,0.4499,medium
818,0.45,medium
303,0.45,medium
478,0.45,medium
270,0.4501,medium
531,0.4502,medium
522,0.4502,medium
282,0.4503,medium
874,0.4503,medium
535,0.4503,medium
0,0.4504,medium
224,0.451,medium
626,0.451,medium
194,0.4511,medium
633,0.4512,medium
796,0.4512,medium
19,0.4512,medium
832,0.4512,medium
622,0.4512,medium
913,0.4513,medium
279,0.4513,medium
524,0.4513,medium
99,0.4514,medium
421,0.4515,medium
772,0.4515,medium
217,0.4516,medium
823,0.4518,medium
268,0.4518,medium
761,0.452,medium
530,0.4521,medium
329,0.4522,medium
773,0.4524,medium
635,0.4524,medium
342,0.4525,medium
98,0.4526,medium
231,0.4526,medium
843,0.4527,medium
255,0.4528,medium
956,0.4528,medium
317,0.4529,medium
805,0.453,medium
152,0.4532,medium
726,0.4532,medium
709,0.4532,medium
220,0.4533,medium
992,0.4534,medium
244,0.4536,medium
474,0.4536,medium
50,0.4538,medium
230,0.4538,medium
442,0.4538,medium
