scenario,load_mean_mw,load_max_mw,load_min_mw,load_std_mw,load_peak_ratio,n_timesteps,peak_hour,reactive_burden,gen_mean_mw,gen_max_mw,gen_std_mw,ramp_mean_mw,ramp_max_mw,high_util_pct,imbalance_mean,imbalance_max,voltage_dev_mean,voltage_dev_max,difficulty_score,difficulty_label
0000,257.33,306.3,203.9,22.53,1.1903,8065,19.4,0.7,262.24,314.7,23.0,1.72,9.5,48.77,4.92,11.7,79.5833,141.1,0.4504,medium
0001,258.21,321.6,199.6,22.85,1.2455,8065,19.2,0.7,263.12,328.6,23.31,1.74,8.4,41.62,4.92,13.6,79.5833,141.1,0.4596,medium
0002,256.02,311.7,190.7,23.16,1.2175,8065,19.3,0.7,260.88,319.1,23.6,1.71,8.1,49.8,4.86,12.1,79.5833,141.1,0.4368,medium
0003,257.15,309.2,197.0,23.17,1.2024,8065,19.3,0.7,262.05,316.1,23.63,1.73,10.0,53.89,4.91,12.1,79.5833,141.1,0.4881,medium
0004,254.92,313.5,204.0,21.34,1.2298,8065,19.2,0.7,259.76,318.9,21.72,1.69,8.0,31.47,4.85,11.7,79.5833,141.1,0.3768,medium
0005,256.73,307.4,200.4,23.02,1.1974,8065,19.2,0.7,261.64,312.7,23.45,1.68,8.4,50.07,4.91,11.2,79.5833,141.1,0.4394,medium
0006,258.07,310.4,201.8,22.57,1.2028,8065,19.3,0.7,263.02,316.4,22.97,1.73,9.6,53.27,4.95,12.4,79.5833,141.1,0.4791,medium
0007,257.47,306.2,192.7,22.93,1.1892,8065,19.3,0.7,262.38,314.2,23.39,1.74,8.7,52.13,4.91,12.6,79.5833,141.1,0.4423,medium
0008,256.44,322.6,203.8,22.49,1.258,8065,19.3,0.7,261.31,328.0,22.95,1.74,8.7,33.4,4.87,13.1,79.5833,141.1,0.4411,medium
0009,256.44,310.7,200.5,22.41,1.2116,8065,19.3,0.7,261.33,315.5,22.83,1.74,8.9,44.38,4.9,12.7,79.5833,141.1,0.4378,medium
0010,256.14,308.8,201.6,22.16,1.2056,8065,19.2,0.7,261.02,315.5,22.61,1.7,8.0,49.75,4.89,12.1,79.5833,141.1,0.4171,medium
0011,256.78,312.5,203.4,21.7,1.217,8065,19.3,0.6999,261.68,318.5,22.1,1.66,8.7,39.44,4.9,13.0,79.5833,141.1,0.388,medium
0012,257.29,303.1,200.2,22.3,1.178,8065,19.2,0.7,262.22,308.6,22.72,1.7,8.2,54.31,4.94,12.7,79.5833,141.1,0.4246,medium
0013,256.16,315.0,197.0,23.32,1.2297,8065,19.3,0.6999,261.05,321.7,23.78,1.69,7.8,48.77,4.89,11.6,79.5833,141.1,0.4193,medium
0014,257.11,311.8,198.4,23.07,1.2127,8065,19.2,0.7,262.04,317.7,23.54,1.71,10.4,43.45,4.93,12.6,79.5833,141.1,0.4883,medium
0015,255.53,308.7,202.2,23.13,1.2081,8065,19.3,0.7,260.4,314.8,23.6,1.72,7.9,44.4,4.87,12.7,79.5833,141.1,0.417,medium
0016,256.76,310.4,202.5,22.41,1.2089,8065,19.2,0.7,261.66,317.6,22.86,1.71,8.4,38.4,4.9,11.8,79.5833,141.1,0.4133,medium
0017,255.91,313.2,196.4,22.99,1.2239,8065,19.2,0.7,260.79,318.5,23.4,1.7,9.0,45.96,4.89,11.8,79.5833,141.1,0.4591,medium
0018,256.19,311.1,202.8,22.28,1.2143,8065,19.2,0.7,261.08,316.6,22.74,1.73,10.4,48.78,4.9,13.1,79.5833,141.1,0.4791,medium
0019,255.98,308.8,201.8,23.05,1.2063,8065,19.3,0.7,260.88,316.7,23.49,1.71,9.0,46.94,4.9,11.7,79.5833,141.1,0.4512,medium
0020,254.32,305.4,198.3,23.0,1.2008,8065,19.2,0.7,259.18,312.6,23.44,1.68,8.3,53.83,4.86,12.5,79.5833,141.1,0.4337,medium
0021,256.52,312.2,207.3,22.42,1.2171,8065,19.3,0.7001,261.41,318.9,22.91,1.75,8.0,52.15,4.9,12.7,79.5833,141.1,0.4658,medium
0022,255.78,317.1,204.7,22.35,1.2397,8065,19.2,0.7,260.7,322.2,22.8,1.74,8.8,54.36,4.92,13.4,79.5833,141.1,0.4803,medium
0023,256.54,310.3,204.1,21.55,1.2096,8065,19.3,0.7,261.43,315.7,21.94,1.75,9.0,37.57,4.89,13.1,79.5833,141.1,0.4089,medium
