scenario,load_mean_mw,load_max_mw,load_min_mw,load_std_mw,load_peak_ratio,n_timesteps,peak_hour,reactive_burden,gen_mean_mw,gen_max_mw,gen_std_mw,ramp_mean_mw,ramp_max_mw,high_util_pct,imbalance_mean,imbalance_max,voltage_dev_mean,voltage_dev_max,difficulty_score,difficulty_label
820,255.77,313.2,194.9,24.18,1.2246,8065,19.3,0.7001,260.68,319,24.65,1.77,10.6,51.17,4.92,13.4,79.5833,141.1,0.5604,medium
665,257.83,314.1,196.9,22.81,1.2182,8065,19.4,0.7001,262.8,318.8,23.27,1.72,11.6,46.65,4.97,13,79.5833,141.1,0.5597,medium
667,255.75,327.8,194.6,23.37,1.2817,8065,19.3,0.7,260.64,334.3,23.81,1.7,10.7,42.75,4.89,13.1,79.5833,141.1,0.5404,medium
132,254.86,318.6,194.8,22.95,1.2501,8065,19.2,0.7001,259.77,324.7,23.41,1.71,10.2,47.79,4.9,12.6,79.5833,141.1,0.5394,medium
754,256.61,318.2,198.9,23.25,1.24,8065,19.4,0.7001,261.52,324,23.7,1.73,10.1,48.73,4.91,12.7,79.5833,141.1,0.5388,medium
680,255.63,306.2,197.6,23.46,1.1978,8065,19.3,0.7,260.53,312.3,23.93,1.77,12.5,50.79,4.91,13.6,79.5833,141.1,0.5383,medium
786,256.65,315.6,199.9,23.24,1.2297,8065,19.2,0.7,261.55,321.6,23.71,1.72,12.1,39.85,4.91,13.7,79.5833,141.1,0.5292,medium
853,255.91,315.3,191.1,23.1,1.2321,8065,19.2,0.7001,260.8,322.3,23.53,1.76,10.6,45.01,4.89,11.9,79.5833,141.1,0.5291,medium
914,257.17,321.5,200.4,23.28,1.2502,8065,19.2,0.7001,262.1,330.5,23.74,1.7,9.8,38.62,4.94,11.8,79.5833,141.1,0.5288,medium
34,256.59,313.9,195.8,23.3,1.2233,8065,19.2,0.7002,261.56,321.8,23.78,1.69,8.5,46.27,4.96,12.5,79.5833,141.1,0.5286,medium
452,256.6,320.1,207.3,23.14,1.2474,8065,19.2,0.7001,261.53,325.7,23.61,1.72,9.4,46.94,4.92,11.9,79.5833,141.1,0.5264,hard
958,256.12,318.9,200.6,23.57,1.2451,8065,19.2,0.7001,261.02,326.2,24.03,1.73,9.9,39.71,4.91,11.8,79.5833,141.1,0.5262,hard
967,257.23,321.5,198.2,24.02,1.2499,8065,19.2,0.7,262.14,328.1,24.46,1.72,9.1,56.58,4.92,12.8,79.5833,141.1,0.5259,hard
939,256.25,320,196.7,23.01,1.2488,8065,19.2,0.7,261.15,325.1,23.47,1.72,10.7,48.1,4.91,11.6,79.5833,141.1,0.525,hard
154,257.51,308.3,197,23.04,1.1972,8065,19.3,0.7001,262.42,314.6,23.47,1.74,10.5,54.27,4.92,12.1,79.5833,141.1,0.5249,hard
984,255.96,311.5,201.3,22.96,1.217,8065,19.2,0.7001,260.89,315,23.37,1.72,10.4,46.08,4.93,13.5,79.5833,141.1,0.5234,hard
675,255.95,309.3,200.4,23.48,1.2084,8065,19.2,0.7001,260.86,316.5,23.93,1.72,10.7,44.03,4.91,12.3,79.5833,141.1,0.5227,hard
86,257.61,313.9,203.8,23.37,1.2185,8065,19.3,0.7001,262.53,319.7,23.8,1.77,9.7,49.45,4.93,13.1,79.5833,141.1,0.5222,hard
711,256.93,314.9,195.4,23.03,1.2256,8065,19.3,0.7001,261.86,322.3,23.48,1.79,9.5,51.64,4.93,11.8,79.5833,141.1,0.5219,hard
891,257.09,309.8,189.8,23.65,1.205,8065,19.3,0.7002,262.05,317.2,24.12,1.72,8.9,42.42,4.96,12.4,79.5833,141.1,0.5218,hard
